"ITMDES1_0","ITMREF_0","LOT_0","qtypcu_0","PCU_0","VCRNUM_0","CREDATTIM_0","matprima_cod","data_entrada_lote","data_saida_lote","diff","ofs"
"Adplast MB PPA AMF001PE-S4","RAPPA0000000137","50370322",75.0,"KG","E012209CHG00000337","2022-09-13 22:01:57",NULL,NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012209CHG00000336","2022-09-13 22:01:41",NULL,NULL,NULL,NULL,NULL
"Vistamaxx 6102","RVMAX0862000013","VM6102V21113001AB5032",650.0,"KG","E012209CHG00000335","2022-09-13 21:50:39",NULL,NULL,NULL,NULL,NULL
"Adplast MB PPA AMF001PE-S4","RAPPA0000000137","50370322",75.0,"KG","E012209CHG00000283","2022-09-11 20:37:00",NULL,NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012209CHG00000282","2022-09-11 20:24:53",NULL,NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012209CHG00000269","2022-09-11 14:32:54",NULL,NULL,NULL,NULL,NULL
"Adplast MB PPA AMF001PE-S4","RAPPA0000000137","50370322",75.0,"KG","E012209CHG00000224","2022-09-09 21:53:55",NULL,NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012209CHG00000223","2022-09-09 21:50:22",NULL,NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012209CHG00000199","2022-09-09 08:19:22",NULL,NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012209CHG00000158","2022-09-07 14:03:48",NULL,NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",50.0,"KG","E012209CHG00000157","2022-09-07 13:17:25",NULL,NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012209CHG00000097","2022-09-05 07:44:53",NULL,NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012209CHG00000096","2022-09-05 07:40:22",NULL,NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012209CHG00000044","2022-09-02 22:33:31",NULL,NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012209CHG00000042","2022-09-02 22:32:58",NULL,NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012208CHG00000764","2022-08-31 07:57:27",NULL,NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012208CHG00000725","2022-08-29 22:37:20",NULL,NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012208CHG00000702","2022-08-28 22:37:37",NULL,NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012208CHG00000686","2022-08-28 12:52:44",NULL,NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012208CHG00000646","2022-08-26 17:14:46",NULL,NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012208CHG00000645","2022-08-26 17:07:41",NULL,NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012208CHG00000629","2022-08-25 22:03:21",NULL,NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012208CHG00000603","2022-08-24 21:45:28",NULL,NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012208CHG00000592","2022-08-24 18:06:48",NULL,NULL,NULL,NULL,NULL
"Process Aid ADT AP L068","RAPRA0000000078","A221166",50.0,"KG","E012208CHG00000518","2022-08-21 08:22:26",NULL,NULL,NULL,NULL,NULL
