"ofabrico_sgp","ofabrico","encomenda","prf","cliente","cliente_nome","encomenda_sgp","prf_sgp","cliente_cod_sgp","cliente_nome_sgp"
40,"OFF-E0121/00142","EEF-E012101/00004","PRF-E0121/00004","100479","Drylock Technologies sro","EEF-E012101/00004","PRF-E0121/00004",100479,"Drylock Technologies sro"
41,"OFF-E0121/00136","EEF-E012011/00270","PRF-E0120/00270","100479","Drylock Technologies sro","EEF-E012011/00270","PRF-E0120/00270",100479,"Drylock Technologies sro"
42,"OFF-E0121/00148","EEF-E012101/00018","PRF-E0121/00018","100228","Société d'Articles Hygiéniques","EEF-E012101/00018","PRF-E0121/00018",100228,"SAH"
43,"OFF-E0121/00146",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,"OFF-E0121/00141","EEF-E012011/00276","PRF-E0120/00276","100501","Napco Consumer Products Co. ","EEF-E012011/00276","PRF-E0120/00276",100501,"Napco Consumer Products Co., branch of NAPCO NATIONAL COMPANY"
48,"OFF-E0121/00041","EEF-E012012/00293","PRF-E0120/00293","100466","Drylock Technologies Ltd","EEF-E012012/00293","PRF-E0120/00293",100466,"Drylock Technologies Ltd"
50,"OFF-E0121/00151","EEF-E012011/00271","PRF-E0120/00271","100479","Drylock Technologies sro","EEF-E012011/00271","PRF-E0120/00271",100479,"Drylock Technologies sro"
51,"OFF-E0121/00144","EEF-E012011/00270","PRF-E0120/00270","100479","Drylock Technologies sro","EEF-E012011/00270","PRF-E0120/00270",100479,"Drylock Technologies sro"
55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,"OFF-E0121/00159",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,"OFF-E0121/00190","EEF-E012101/00027","PRF-E0121/00027","100269","CAN HYGIENE SPA","EEF-E012101/00027","PRF-E0121/00027",100269,"CAN HYGIENE"
59,"OFF-E0121/00173","EEF-E012101/00018","PRF-E0121/00018","100228","Société d'Articles Hygiéniques","EEF-E012101/00018","PRF-E0121/00018",100228,"SAH"
60,"OFF-E0121/00170",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,"OFF-E0121/00168","EEF-E012101/00016","PRF-E0121/00016","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012101/00016","PRF-E0121/00016",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
62,"OFF-E0121/00169",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,"OFF-E0121/00283","EEF-E012104/00157","PRF-E0121/00157","100524","Bravery Ovation Lda ",NULL,NULL,NULL,NULL
67,"OFF-E0121/00165","EEF-E012011/00272","PRF-E0120/00272","100479","Drylock Technologies sro","EEF-E012011/00272","PRF-E0120/00272",100479,"Drylock Technologies sro"
68,"OFF-E0121/00166","EEF-E012011/00273"," ","100479","Drylock Technologies sro","EEF-E012011/00273","PRF-E0120/00273",100479,"Drylock Technologies sro"
70,"OFF-E0121/00168","EEF-E012101/00016","PRF-E0121/00016","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012101/00016","PRF-E0121/00016",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
71,"OFF-E0121/00163","EEF-E012012/00294","PRF-E0120/00294","100267","MEGA DISPOSABLES S.A.","EEF-E012011/00290","PRF-E0120/00290",100267,"MEGA DISPOSABLES S.A."
72,"OFF-E0121/00175","EEF-E012012/00290","PRF-E0120/00290","100267","MEGA DISPOSABLES S.A.","EEF-E012012/00294","PRF-E0120/00294",100267,"MEGA DISPOSABLES S.A."
73,"OFF-E0121/00260","EEF-E012102/00051","PRF-E0121/00051","100501","Napco Consumer Products Co. ","EEF-E012102/00051","PRF-E0121/00051",100501,"Napco Consumer Products Co., branch of NAPCO NATIONAL COMPANY"
74,"OFF-E0121/00179","EEF-E012101/00027","PRF-E0121/00027","100269","CAN HYGIENE SPA","EEF-E012101/00027","PRF-E0121/00027",100269,"CAN HYGIENE"
75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,"OFF-E0121/00188","EEF-E012102/00044","PRF-E0121/00044","100232","Abena Produktion A/S","EEF-E012102/00044","PRF-E0121/00044",100232,"ABENA"
80,"OFF-E0121/00284",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,"OFF-E0121/00189",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
82,"OFF-E0121/00260","EEF-E012102/00051","PRF-E0121/00051","100501","Napco Consumer Products Co. ","EEF-E012011/00276","PRF-E0120/00276",100501,"Napco Consumer Products Co., branch of NAPCO NATIONAL COMPANY"
83,"OFF-E0121/00186","EEF-E012012/00301","PRF-E0120/00301","100469","NAPCO RIYADH PAPER PRODUCTS CO.","EEF-E012012/00301","PRF-E0120/00301",100469,"NAPCO RIYADH PAPER PRODUCTS CO., branch of NAPCO NATIONAL COMPANY"
88,"OFF-E0121/00191","EEF-E012011/00274","PRF-E0120/00274","100479","Drylock Technologies sro","EEF-E012011/00274","PRF-E0120/00274",100479,"Drylock Technologies sro"
89,"OFF-E0121/00152","EEF-E012102/00036","PRF-E0121/00036","100466","Drylock Technologies Ltd","EEF-E012102/00036","PRF-E0121/00036",100466,"Drylock Technologies Ltd"
91,"OFF-E0121/00197","EEF-E012101/00027","PRF-E0121/00027","100269","CAN HYGIENE SPA","EEF-E012101/00027","PRF-E0121/00027",100269,"CAN HYGIENE"
93,"OFF-E0121/00194","EEF-E012103/00060","PRF-E0121/00060","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012103/00060","PRF-E0121/00060",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
94,"OFF-E0121/00195","EEF-E012103/00061","PRF-E0121/00061","100228","Société d'Articles Hygiéniques","EEF-E012103/00061","PRF-E0121/00061",100228,"SAH"
95,"OFF-E0121/00217","EEF-E012103/00056","PRF-E0121/00056","100269","CAN HYGIENE SPA","EEF-E012103/00056","PRF-E0121/00056",100269,"CAN HYGIENE"
97,"OFF-E0121/00196","EEF-E012101/00027","PRF-E0121/00027","100269","CAN HYGIENE SPA","EEF-E012101/00027","PRF-E0121/00027",100269,"CAN HYGIENE"
99,"OFF-E0121/00207",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101,"OFF-E0121/00206","EEF-E012101/00027","PRF-E0121/00027","100269","CAN HYGIENE SPA","EEF-E012101/00027","PRF-E0121/00027",100269,"CAN HYGIENE"
102,"OFF-E0121/00208","EEF-E012102/00048","PRF-E0121/00048","100267","MEGA DISPOSABLES S.A.","EEF-E012102/00048","PRF-E0121/00048",100267,"MEGA DISPOSABLES S.A."
107,"OFF-E0121/00205","EEF-E012101/00002","PRF-E0121/00002","100479","Drylock Technologies sro","EEF-E012101/00002","PRF-E0121/00002",100479,"Drylock Technologies sro"
108,"OFF-E0121/00202","EEF-E012101/00002","PRF-E0121/00002","100479","Drylock Technologies sro","EEF-E012101/00002","PRF-E0121/00002",100479,"Drylock Technologies sro"
109,"OFF-E0121/00213","EEF-E012102/00037","PRF-E0121/00037","100466","Drylock Technologies Ltd","EEF-E012102/00037","PRF-E0121/00037",100466,"Drylock Technologies Ltd"
112,NULL,NULL,NULL,NULL,NULL,"EEF-E012101/00027","PRF-E0121/00027",100269,"CAN HYGIENE"
114,"OFF-E0121/00203","EEF-E012104/00138","PRF-E0121/00138","100563","BV Trading SA","EEF-E012103/00062","PRF-E0121/00062",100563,"BV Trading SA"
115,"OFF-E0121/00222","EEF-E012101/00027","PRF-E0121/00027","100269","CAN HYGIENE SPA","EEF-E012101/00027","PRF-E0121/00027",100269,"CAN HYGIENE"
116,"OFF-E0121/00221","EEF-E012101/00026","PRF-E0121/00026","100269","CAN HYGIENE SPA","EEF-E012101/00026","PRF-E0121/00026",100269,"CAN HYGIENE"
117,"OFF-E0121/00224","EEF-E012101/00028","PRF-E0121/00028","100269","CAN HYGIENE SPA","EEF-E012101/00028","PRF-E0121/00028",100269,"CAN HYGIENE"
118,"OFF-E0121/00110","EEF-E012101/00028","PRF-E0121/00028","100269","CAN HYGIENE SPA","EEF-E012101/00028","PRF-E0121/00028",100269,"CAN HYGIENE"
120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
125,"OFF-E0121/00230","EEF-E012103/00113","PRF-E0121/00113","100354","PAUL HARTMANN AG","EEF-E012103/00113","PRF-E0121/00113",100354,"PAUL HARTMANN AG"
126,"OFF-E0121/00231","EEF-E012103/00114","PRF-E0121/00114","100576","Intigena Produktion GmbH & Co. KG","EEF-E012103/00114","PRF-E0121/00114",100576,"Intigena Produktion GmbH & Co. KG"
128,"OFF-E0121/00258",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
129,"OFF-E0121/00218","EEF-E012101/00005"," ","100479","Drylock Technologies sro","EEF-E012101/00005","PRF-E0121/00005",100479,"Drylock Technologies sro"
130,"OFF-E0121/00158","EEF-E012101/00015","PRF-E0121/00015","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012101/00015","PRF-E0121/00015",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
131,"OFF-E0121/00233","EEF-E012103/00066","PRF-E0121/00066","100234","NOVATIS S.A.","EEF-E012103/00066","PRF-E0121/00066",100234,"Novatis"
132,"OFF-E0121/00245","EEF-E012103/00064","PRF-E0121/00064","100234","NOVATIS S.A.","EEF-E012103/00064","PRF-E0121/00064",100234,"Novatis"
134,"OFF-E0121/00251","EEF-E012101/00033","PRF-E0121/00033","100469","NAPCO RIYADH PAPER PRODUCTS CO.","EEF-E012101/00033","PRF-E0121/00033",100469,"NAPCO RIYADH PAPER PRODUCTS CO., branch of NAPCO NATIONAL COMPANY"
135,"OFF-E0121/00247","EEF-E012012/00295","PRF-E0120/00295","100267","MEGA DISPOSABLES S.A.","EEF-E012012/00295","PRF-E0120/00295",100267,"MEGA DISPOSABLES S.A."
140,"OFF-E0121/00270","EEF-E012102/00039","PRF-E0121/00039","100466","Drylock Technologies Ltd","EEF-E012102/00039","PRF-E0121/00039",100466,"Drylock Technologies Ltd"
141,"OFF-E0121/00297","EEF-E012102/00043","PRF-E0121/00043","100466","Drylock Technologies Ltd","EEF-E012102/00043","PRF-E0121/00043",100466,"Drylock Technologies Ltd"
143,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
144,"OFF-E0121/00274","EEF-E012101/00011"," ","100479","Drylock Technologies sro","EEF-E012101/00011","PRF-E0121/00011",100479,"Drylock Technologies sro"
145,"OFF-E0121/00247","EEF-E012012/00295","PRF-E0120/00295","100267","MEGA DISPOSABLES S.A.","EEF-E012012/00295","PRF-E0120/00295",100267,"MEGA DISPOSABLES S.A."
146,"OFF-E0121/00246","EEF-E012101/00033","PRF-E0121/00033","100469","NAPCO RIYADH PAPER PRODUCTS CO.","EEF-E012101/00033","PRF-E0121/00033",100469,"NAPCO RIYADH PAPER PRODUCTS CO., branch of NAPCO NATIONAL COMPANY"
147,"OFF-E0121/00257","EEF-E012101/00032"," ","100502","National Paper Company LTD.","EEF-E012101/00032","PRF-E0121/00032",100502,"National Paper Company LTD. branch of NAPCO NATIONAL COMPANY"
148,"OFF-E0121/00266","EEF-E012101/00008","PRF-E0121/00008","100479","Drylock Technologies sro","EEF-E012101/00008","PRF-E0121/00008",100479,"Drylock Technologies sro"
149,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
150,"OFF-E0121/00085","EEF-E012012/00301","PRF-E0120/00301","100469","NAPCO RIYADH PAPER PRODUCTS CO.","EEF-E012012/00301","PRF-E0120/00301",100469,"NAPCO RIYADH PAPER PRODUCTS CO., branch of NAPCO NATIONAL COMPANY"
151,"OFF-E0121/00253","EEF-E012102/00038","PRF-E0121/00038","100466","Drylock Technologies Ltd","EEF-E012102/00038","PRF-E0121/00038",100466,"Drylock Technologies Ltd"
152,"OFF-E0121/00256","EEF-E012101/00007","PRF-E0121/00007","100479","Drylock Technologies sro","EEF-E012101/00007","PRF-E0121/00007",100479,"Drylock Technologies sro"
153,"OFF-E0121/00170","EEF-E012101/00027","PRF-E0121/00027","100269","CAN HYGIENE SPA","EEF-E012101/00027","PRF-E0121/00027",100269,"CAN HYGIENE"
154,"OFF-E0121/00262","EEF-E012101/00027","PRF-E0121/00027","100269","CAN HYGIENE SPA","EEF-E012101/00027","PRF-E0121/00027",100269,"CAN HYGIENE"
155,"OFF-E0121/00265","EEF-E012103/00057","PRF-E0121/00057","100269","CAN HYGIENE SPA","EEF-E012103/00057","PRF-E0121/00057",100269,"CAN HYGIENE"
156,"OFF-E0121/00263","EEF-E012103/00058","PRF-E0121/00058","100269","CAN HYGIENE SPA","EEF-E012103/00058","PRF-E0121/00058",100269,"CAN HYGIENE"
157,"OFF-E0121/00264","EEF-E012104/00142","PRF-E0121/00142","100269","CAN HYGIENE SPA","EEF-E012104/00142","PRF-E0121/00142",100269,"CAN HYGIENE"
159,"OFF-E0121/00280","EEF-E012103/00056","PRF-E0121/00056","100269","CAN HYGIENE SPA","EEF-E012103/00056","PRF-E0121/00056",100269,"CAN HYGIENE"
160,"OFF-E0121/00286","EEF-E012104/00141","PRF-E0121/00141","100269","CAN HYGIENE SPA","EEF-E012104/00141","PRF-E0121/00141",100269,"CAN HYGIENE"
161,"OFF-E0121/00294","EEF-E012103/00058","PRF-E0121/00058","100269","CAN HYGIENE SPA","EEF-E012103/00058","PRF-E0121/00058",100269,"CAN HYGIENE"
162,"OFF-E0121/00268","EEF-E012010/00216"," ","100241","SANCELLA TUNISIE","EEF-E012010/00216","PRF-E0120/00216",100241,"SANCELLA SA"
165,"OFF-E0121/00269",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
167,"OFF-E0121/00267","EEF-E012102/00043","PRF-E0121/00043","100466","Drylock Technologies Ltd","EEF-E012102/00043","PRF-E0121/00043",100466,"Drylock Technologies Ltd"
168,"OFF-E0121/00270","EEF-E012102/00039","PRF-E0121/00039","100466","Drylock Technologies Ltd","EEF-E012102/00039","PRF-E0121/00039",100466,"Drylock Technologies Ltd"
169,"OFF-E0121/00271","EEF-E012101/00008","PRF-E0121/00008","100479","Drylock Technologies sro","EEF-E012101/00008","PRF-E0121/00008",100479,"Drylock Technologies sro"
172,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
173,"OFF-E0121/00280","EEF-E012103/00056","PRF-E0121/00056","100269","CAN HYGIENE SPA","EEF-E012103/00056","PRF-E0121/00056",100269,"CAN HYGIENE"
174,"OFF-E0121/00276","EEF-E012103/00059","PRF-E0121/00059","100269","CAN HYGIENE SPA","EEF-E012103/00059","PRF-E0121/00059",100269,"CAN HYGIENE"
175,"OFF-E0121/00281","EEF-E012102/00042","PRF-E0121/00042","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012102/00042","PRF-E0121/00042",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
176,"OFF-E0121/00228","EEF-E012103/00053","PRF-E0121/00053","100433","Drylock Technologies SL","EEF-E012103/00053","PRF-E0121/00053",100433,"Drylock Technologies SL"
177,"OFF-E0121/00279","EEF-E012101/00008","PRF-E0121/00008","100479","Drylock Technologies sro","EEF-E012101/00008","PRF-E0121/00008",100479,"Drylock Technologies sro"
179,"OFF-E0121/00300",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
181,"OFF-E0121/00298","EEF-E012101/00008","PRF-E0121/00008","100479","Drylock Technologies sro","EEF-E012101/00008","PRF-E0121/00008",100479,"Drylock Technologies sro"
183,"OFF-E0121/00287",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
184,"OFF-E0121/00293","EEF-E012103/00055","PRF-E0121/00055","100303","MEDIANE SARL","EEF-E012103/00055","PRF-E0121/00055",100303,"MEDIANE"
185,"OFF-E0121/00291","EEF-E012103/00055","PRF-E0121/00055","100303","MEDIANE SARL","EEF-E012103/00055","PRF-E0121/00055",100303,"MEDIANE"
186,"OFF-E0121/00292","EEF-E012103/00054","PRF-E0121/00054","100303","MEDIANE SARL","EEF-E012103/00054","PRF-E0121/00054",100303,"MEDIANE"
187,"OFF-E0121/00288","EEF-E012104/00151","PRF-E0121/00151","100524","Bravery Ovation Lda ","EEF-E012104/00151","PRF-E0121/00151",100524,"Bravery Ovation Lda"
188,"OFF-E0121/00299","EEF-E012101/00023","PRF-E0121/00023","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012101/00023","PRF-E0121/00023",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
189,"OFF-E0121/00296","EEF-E012101/00016","PRF-E0121/00016","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012101/00016","PRF-E0121/00016",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
190,"OFF-E0121/00301","EEF-E012101/00008","PRF-E0121/00008","100479","Drylock Technologies sro","EEF-E012101/00008","PRF-E0121/00008",100479,"Drylock Technologies sro"
191,"OFF-E0121/00301","EEF-E012101/00008","PRF-E0121/00008","100479","Drylock Technologies sro","EEF-E012101/00008","PRF-E0121/00008",100479,"Drylock Technologies sro"
193,"OFF-E0121/00306","EEF-E012102/00043","PRF-E0121/00043","100466","Drylock Technologies Ltd","EEF-E012102/00043","PRF-E0121/00043",100466,"Drylock Technologies Ltd"
196,"OFF-E0121/00326","EEF-E012105/00164","PRF-E0121/00164","100269","CAN HYGIENE SPA","EEF-E012105/00164","PRF-E0121/00164",100269,"CAN HYGIENE"
197,"OFF-E0121/00304","EEF-E012101/00009"," ","100479","Drylock Technologies sro","EEF-E012101/00008","PRF-E0121/00008",100479,"Drylock Technologies sro"
198,"OFF-E0121/00303","EEF-E012102/00039","PRF-E0121/00039","100466","Drylock Technologies Ltd","EEF-E012102/00039","PRF-E0121/00039",100466,"Drylock Technologies Ltd"
199,"OFF-E0121/00304","EEF-E012101/00010","PRF-E0121/00010","100479","Drylock Technologies sro","EEF-E012101/00009","PRF-E0121/00009",100479,"Drylock Technologies sro"
200,"OFF-E0121/00302","EEF-E012101/00009"," ","100479","Drylock Technologies sro","EEF-E012101/00009","PRF-E0121/00009",100479,"Drylock Technologies sro"
201,"OFF-E0121/00310","EEF-E012102/00051","PRF-E0121/00051","100501","Napco Consumer Products Co. ","EEF-E012102/00051","PRF-E0121/00051",100501,"Napco Consumer Products Co., branch of NAPCO NATIONAL COMPANY"
202,"OFF-E0121/00309","EEF-E012104/00137","PRF-E0121/00137","100307","SENI S.A.","EEF-E012104/00137","PRF-E0121/00137",100307,"Seni S.A."
203,"OFF-E0121/00313","EEF-E012102/00040","PRF-E0121/00040","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012102/00040","PRF-E0121/00040",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
204,"OFF-E0121/00315","EEF-E012101/00022","PRF-E0121/00022","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012101/00022","PRF-E0121/00022",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
205,"OFF-E0121/00317","EEF-E012101/00022","PRF-E0121/00022","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012101/00022","PRF-E0121/00022",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
206,"OFF-E0121/00319","EEF-E012102/00040","PRF-E0121/00040","100287","ONTEX TÜKETİM ÜRÜNLERİ SAN VE TİC","EEF-E012102/00040","PRF-E0121/00040",100287,"ONTEX TUKETIM URUNLERI SAN VE TIC AS"
207,"OFF-E0121/00341",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
208,"OFF-E0121/00354","EEF-E012104/00142","PRF-E0121/00142","100269","CAN HYGIENE SPA","EEF-E012104/00142","PRF-E0121/00142",100269,"CAN HYGIENE"
209,"OFF-E0121/00344","EEF-E012104/00139","PRF-E0121/00139","100269","CAN HYGIENE SPA","EEF-E012104/00139","PRF-E0121/00139",100269,"CAN HYGIENE"
210,"OFF-E0121/00348","EEF-E012103/00057","PRF-E0121/00057","100269","CAN HYGIENE SPA","EEF-E012103/00057","PRF-E0121/00057",100269,"CAN HYGIENE"
211,"OFF-E0121/00336","EEF-E012105/00162","PRF-E0121/00162","100269","CAN HYGIENE SPA","EEF-E012105/00162","PRF-E0121/00162",100269,"CAN HYGIENE"
212,"OFF-E0121/00331","EEF-E012101/00010","PRF-E0121/00010","100479","Drylock Technologies sro","EEF-E012101/00010","PRF-E0121/00010",100479,"Drylock Technologies sro"
213,"OFF-E0121/00323","EEF-E012101/00020","PRF-E0121/00020","100267","MEGA DISPOSABLES S.A.","EEF-E012101/00020","PRF-E0121/00020",100267,"MEGA DISPOSABLES S.A."
215,"OFF-E0121/00328","EEF-E012104/00119","PRF-E0121/00119","100501","Napco Consumer Products Co., ","EEF-E012104/00119","PRF-E0121/00119",100501,"Napco Consumer Products Co., branch of NAPCO NATIONAL COMPANY"
216,"OFF-E0121/00327","EEF-E012103/00058","PRF-E0121/00058","100269","CAN HYGIENE SPA","EEF-E012103/00058","PRF-E0121/00058",100269,"CAN HYGIENE"
217,"OFF-E0121/00324","EEF-E012104/00142","PRF-E0121/00142","100269","CAN HYGIENE SPA","EEF-E012104/00142","PRF-E0121/00142",100269,"CAN HYGIENE"
218,"OFF-E0121/00331","EEF-E012101/00010","PRF-E0121/00010","100479","Drylock Technologies sro","EEF-E012101/00010","PRF-E0121/00010",100479,"Drylock Technologies sro"
219,"OFF-E0121/00333","EEF-E012101/00011"," ","100479","Drylock Technologies sro","EEF-E012101/00011","PRF-E0121/00011",100479,"Drylock Technologies sro"
220,"OFF-E0121/00332","EEF-E012102/00043","PRF-E0121/00043","100466","Drylock Technologies Ltd","EEF-E012102/00043","PRF-E0121/00043",100466,"Drylock Technologies Ltd"
221,"OFF-E0121/00342",NULL,NULL,NULL,NULL,"EEF-E012105/00161","PRF-E0121/00161",100303,"MEDIANE"
222,"OFF-E0121/00337","EEF-E012103/00092","PRF-E0121/00092","100351","NORSUDEX DU GROUPE NOVATIS","EEF-E012103/00092","PRF-E0121/00092",100351,"NORSUDEX"
223,"OFF-E0121/00337","EEF-E012103/00093","PRF-E0121/00093","100351","NORSUDEX DU GROUPE NOVATIS","EEF-E012103/00093","PRF-E0121/00093",100351,"NORSUDEX"
224,"OFF-E0121/00338","EEF-E012103/00066","PRF-E0121/00066","100234","NOVATIS S.A.","EEF-E012103/00066","PRF-E0121/00066",100234,"Novatis"
226,"OFF-E0121/00355","EEF-E012104/00140","PRF-E0121/00140","100269","CAN HYGIENE SPA","EEF-E012104/00140","PRF-E0121/00140",100269,"CAN HYGIENE"
227,"OFF-E0121/00339",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
228,"OFF-E0121/00345","EEF-E012102/00046","PRF-E0121/00046","100267","MEGA DISPOSABLES S.A.","EEF-E012102/00046","PRF-E0121/00046",100267,"MEGA DISPOSABLES S.A."
231,"OFF-E0121/00346","EEF-E012103/00094","PRF-E0121/00094","100351","NORSUDEX DU GROUPE NOVATIS","EEF-E012103/00094","PRF-E0121/00094",100351,"NORSUDEX"
232,"OFF-E0121/00346","EEF-E012103/00095","PRF-E0121/00095","100351","NORSUDEX DU GROUPE NOVATIS","EEF-E012103/00095","PRF-E0121/00095",100351,"NORSUDEX"
233,"OFF-E0121/00350","EEF-E012103/00066","PRF-E0121/00066","100234","NOVATIS S.A.","EEF-E012103/00066","PRF-E0121/00066",100234,"Novatis"
234,"OFF-E0121/00353","EEF-E012101/00012","PRF-E0121/00012","100479","Drylock Technologies sro","EEF-E012101/00012","PRF-E0121/00012",100479,"Drylock Technologies sro"
